127.0.0.1 - - [05/Jan/2018:20:33:10 +0800] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [05/Jan/2018:20:33:11 +0800] "GET /web20/ HTTP/1.1" 200 15131
0:0:0:0:0:0:0:1 - - [05/Jan/2018:20:33:11 +0800] "GET /web20/img/1.jpg HTTP/1.1" 200 145795
0:0:0:0:0:0:0:1 - - [05/Jan/2018:20:33:11 +0800] "GET /web20/js/jquery-1.11.3.min.js HTTP/1.1" 200 95957
0:0:0:0:0:0:0:1 - - [05/Jan/2018:20:33:11 +0800] "GET /web20/img/3.jpg HTTP/1.1" 200 201004
0:0:0:0:0:0:0:1 - - [05/Jan/2018:20:33:11 +0800] "GET /web20/css/bootstrap.min.css HTTP/1.1" 200 122540
0:0:0:0:0:0:0:1 - - [05/Jan/2018:20:33:11 +0800] "GET /web20/img/2.jpg HTTP/1.1" 200 167457
0:0:0:0:0:0:0:1 - - [05/Jan/2018:20:33:11 +0800] "GET /web20/img/logo2.png HTTP/1.1" 200 8086
0:0:0:0:0:0:0:1 - - [05/Jan/2018:20:33:11 +0800] "GET /web20/img/header.png HTTP/1.1" 200 12567
0:0:0:0:0:0:0:1 - - [05/Jan/2018:20:33:11 +0800] "GET /web20/img/title2.jpg HTTP/1.1" 200 1703
0:0:0:0:0:0:0:1 - - [05/Jan/2018:20:33:11 +0800] "GET /web20/products/hao/big01.jpg HTTP/1.1" 200 15121
0:0:0:0:0:0:0:1 - - [05/Jan/2018:20:33:11 +0800] "GET /web20/products/hao/middle01.jpg HTTP/1.1" 200 34449
0:0:0:0:0:0:0:1 - - [05/Jan/2018:20:33:11 +0800] "GET /web20/products/hao/ad.jpg HTTP/1.1" 200 39033
0:0:0:0:0:0:0:1 - - [05/Jan/2018:20:33:11 +0800] "GET /web20/products/hao/small03.jpg HTTP/1.1" 200 5609
0:0:0:0:0:0:0:1 - - [05/Jan/2018:20:33:11 +0800] "GET /web20/products/hao/small04.jpg HTTP/1.1" 200 9109
0:0:0:0:0:0:0:1 - - [05/Jan/2018:20:33:11 +0800] "GET /web20/products/hao/small05.jpg HTTP/1.1" 200 4695
0:0:0:0:0:0:0:1 - - [05/Jan/2018:20:33:11 +0800] "GET /web20/img/footer.jpg HTTP/1.1" 200 24121
0:0:0:0:0:0:0:1 - - [05/Jan/2018:20:33:11 +0800] "GET /web20/js/bootstrap.min.js HTTP/1.1" 200 36816
0:0:0:0:0:0:0:1 - - [05/Jan/2018:20:33:11 +0800] "GET /web20/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 200 20127
0:0:0:0:0:0:0:1 - - [05/Jan/2018:20:33:20 +0800] "GET /web20/login.jsp HTTP/1.1" 200 7290
0:0:0:0:0:0:0:1 - - [05/Jan/2018:20:33:20 +0800] "GET /web20/css/style.css HTTP/1.1" 200 786
0:0:0:0:0:0:0:1 - - [05/Jan/2018:20:33:20 +0800] "GET /web20/image/captcha.jhtml HTTP/1.1" 200 1269
0:0:0:0:0:0:0:1 - - [05/Jan/2018:20:33:20 +0800] "GET /web20/images/loginbg.jpg HTTP/1.1" 200 97383
0:0:0:0:0:0:0:1 - - [05/Jan/2018:20:33:20 +0800] "GET /web20/images/login.gif HTTP/1.1" 200 847
0:0:0:0:0:0:0:1 - - [05/Jan/2018:20:33:31 +0800] "GET /web20/login.jsp?submit=%E7%99%BB%E5%BD%95 HTTP/1.1" 200 7290
0:0:0:0:0:0:0:1 - - [05/Jan/2018:20:35:44 +0800] "GET /web20/admin/index.jsp HTTP/1.1" 200 1745
0:0:0:0:0:0:0:1 - - [05/Jan/2018:20:35:44 +0800] "GET /web20/css/general.css HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [05/Jan/2018:20:35:44 +0800] "GET /web20/css/main.css HTTP/1.1" 404 1091
0:0:0:0:0:0:0:1 - - [05/Jan/2018:20:36:41 +0800] "POST /web20/admin/home.jsp HTTP/1.1" 200 739
